iter	Passed	Remaining
0	0	87
1	1	91
2	2	86
3	3	80
4	4	77
5	4	76
6	5	76
7	6	75
8	7	73
9	8	72
10	8	72
11	9	72
12	10	70
13	11	70
14	12	69
15	12	67
16	13	66
17	14	65
18	15	64
19	15	62
20	16	61
21	16	59
22	17	58
23	18	58
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	22	53
30	23	53
31	24	52
32	25	51
33	26	51
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	31	46
40	32	46
41	32	44
42	33	44
43	34	43
44	35	42
45	35	41
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	47	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	21
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
